player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,player_position,player_cost,opp,gwk_31_pts
194,Zinchenko,100,170,0.4,3,0,MID,5.5,LEE,2
195,Greenwood,100,365,3.2,4,2,DEF,4.5,TOT,11
196,Brownhill,100,450,2,2,2,MID,6.9,NEW,1
197,Kanté,100,280,2.6,3,2,DEF,4.4,CRY,1
198,Milivojevic,100,450,4.6,4,1,MID,4.9,CHE,2
199,Torres,100,194,2,3,5,MID,5.9,LEE,7
200,Trézéguet,100,252,4.6,4,5,DEF,4,LIV,2
201,Cooper,100,270,1,5,3,DEF,4.8,MCI,-2
202,Joelinton,100,450,2.8,2,1,FWD,5.5,BUR,1
203,Townsend,100,450,4,2,1,DEF,5.5,SOU,6
204,Kilman,100,0,0,2,9,MID,5.3,FUL,0
205,Gabriel,100,180,0.4,2,2,MID,5.1,SHU,0
206,Fabinho,100,284,2.4,3,2,MID,5.6,AVL,2
207,Saint-Maximin,100,81,0.8,2,12,MID,5.6,BUR,12
208,van Aanholt,100,450,4.2,4,0,MID,4.7,CHE,0
209,Albrighton,100,201,2.4,4,0,MID,4.9,WHU,4
210,Struijk,100,232,1.8,5,0,MID,4.4,MCI,1
211,Fred,0,433,2.6,4,1,MID,5.2,TOT,7
212,Fleck,0,439,2,3,1,MID,4.9,ARS,2
213,Davies,0,33,0.2,4,4,MID,5.4,MUN,0
214,Ziyech,100,242,2,3,0,MID,5.7,CRY,1
215,Hudson-Odoi,100,121,1,3,3,DEF,4.3,CRY,5
216,Schlupp,100,69,1.4,4,0,MID,5.2,CHE,4
217,Robinson,100,152,0.6,3,2,MID,7.9,WOL,2
218,Phillips,100,360,1.4,5,2,MID,5.3,MCI,2
219,Shelvey,100,450,2,2,2,FWD,5.7,BUR,6
220,Oriol Romeu,0,0,0,2,11,MID,5.4,WBA,0
221,Redmond,100,305,3.8,2,1,DEF,4.9,WBA,2
222,Maitland-Niles,100,450,3.4,2,0,MID,6.2,SOU,6
222,Maitland-Niles,100,450,3.4,2,2,DEF,4.4,SOU,6
223,Kovacic,100,268,1.6,3,1,MID,4.9,CRY,2
224,Pulisic,75,162,2.4,3,1,MID,6.4,CRY,15
225,Laporte,100,270,2.8,3,2,DEF,3.9,LEE,0
226,Lallana,100,402,3.4,4,1,DEF,5.4,EVE,3
227,Pieters,75,149,1.2,2,0,DEF,4.7,NEW,1
228,Hendrick,100,101,0.4,2,2,MID,5.3,BUR,1
229,Phillips,100,388,2.4,2,0,DEF,4.3,SOU,8
230,Rodriguez,100,116,1.2,2,0,DEF,4.9,NEW,0
231,Barnes,0,0,0,2,1,DEF,4.5,NEW,0
232,Pérez,100,170,2,4,2,FWD,4.8,WHU,0
234,Smith Rowe,75,133,0.8,2,0,MID,4.5,SHU,0
235,Tete,100,378,2.8,3,0,DEF,6,WOL,2
236,Mendy,100,189,4.4,3,1,MID,4.5,LEE,2
237,McArthur,25,0,0,4,2,MID,4.2,CHE,0
238,Doherty,0,189,1.2,4,0,DEF,4.3,MUN,0
239,Brady,0,46,0.4,2,0,FWD,5.7,NEW,0
240,Giroud,100,64,0.4,3,0,MID,4.5,CRY,0
241,Lemina,100,334,3,3,0,MID,5.9,WOL,2
242,Fernandinho,100,293,1.4,3,1,FWD,5.2,LEE,0
243,Lascelles,100,450,5.2,2,0,MID,6,BUR,0
244,Baldock,75,404,2.8,3,4,FWD,6,ARS,1
245,Lundstram,100,450,1.8,3,2,DEF,5.7,ARS,2
246,Fabio Silva,100,120,2,2,0,DEF,4.3,FUL,4
247,Coleman,100,92,2.4,2,1,DEF,5.9,BHA,6
248,Jones,100,140,2,3,1,DEF,5,AVL,0
249,Lewis,100,90,0.4,2,1,MID,4.7,BUR,0
250,McBurnie,100,212,1.6,3,1,MID,4.9,ARS,1
251,Jiménez,0,0,0,2,2,FWD,6,FUL,0
252,Alonso,100,180,2.2,3,0,DEF,4.2,CRY,0
253,Matip,0,0,0,3,0,MID,5.4,AVL,0
254,Murphy,100,148,2.2,2,0,FWD,6.7,BUR,9
255,Ampadu,100,405,1.4,3,0,MID,5.2,ARS,0
256,Djenepo,100,162,1.2,2,5,DEF,5.3,WBA,1
257,Sánchez,100,450,3,4,2,DEF,5.4,MUN,0
258,Ajayi,100,90,0.2,2,1,DEF,4.5,SOU,1
259,Masuaku,100,66,1,4,6,DEF,5.6,LEI,0
260,Ceballos,100,67,0.4,2,3,DEF,4.8,SHU,7
261,Gudmundsson,100,221,1.2,2,1,MID,5,NEW,2
262,Vydra,100,401,4.4,2,1,MID,4.4,NEW,7
263,Minamino,100,151,1,2,0,DEF,4.2,WBA,0
264,Sissoko,100,85,0.8,4,2,DEF,4.3,MUN,0
265,Haller,0,0,0,4,1,MID,4.5,LEI,0
266,David Luiz,0,360,2.6,2,2,FWD,5.6,SHU,0
267,Christensen,100,417,5.8,3,0,MID,5.3,CRY,0
268,Batshuayi,0,6,1.2,4,0,MID,5.3,CHE,0
269,André Gomes,75,371,2.2,2,0,DEF,4.1,BHA,0
270,Clark,100,360,2,2,0,DEF,4.7,BUR,2
271,Hayden,0,312,1.4,2,2,MID,4.1,BUR,0
272,Bergwijn,100,24,0.2,4,0,MID,5.4,MUN,0
273,Balbuena,100,0,0,4,6,MID,4.7,LEI,0
274,Burn,100,225,0.8,4,0,FWD,8.1,EVE,1
275,Mac Allister,100,150,1,4,0,MID,5.3,EVE,0
276,Cahill,100,450,4.4,4,0,DEF,5.4,CHE,0
277,Milner,100,212,1.6,3,1,DEF,5.2,AVL,1
278,Fraser,75,303,2.4,2,4,DEF,4.3,BUR,0
279,Burke,100,149,1,3,1,MID,5.2,ARS,2
280,Sharp,0,122,0.8,3,1,MID,6,ARS,0
281,Mendy,100,72,0.6,4,1,MID,7,WHU,0
282,Basham,25,90,0,3,1,FWD,6.1,ARS,0
283,Söyüncü,25,360,2.2,4,1,DEF,5.4,WHU,0
284,Norwood,100,367,2,3,0,FWD,5.7,ARS,2
286,Connolly,75,60,0.4,4,2,MID,4.6,EVE,0
287,Davies,100,189,1.6,2,2,MID,4.7,BHA,3
288,Lamptey,0,0,0,4,0,DEF,4.2,EVE,0
289,Mitchell,100,0,0,4,0,DEF,4.5,CHE,0
290,Praet,100,0,0,4,0,DEF,4.4,WHU,1
292,James,100,302,2,4,0,MID,5.6,TOT,0
293,Willock,100,342,3,2,0,FWD,5.5,BUR,0
296,Koch,100,2,0.4,5,2,DEF,4.1,MCI,1
297,Fernández,75,0,0,2,2,MID,4.9,BUR,2
298,Diangana,100,18,0.2,2,2,MID,4.2,SOU,0
299,Dann,100,0,0,4,0,MID,4.6,CHE,0
300,Egan,100,13,0.2,3,1,GKP,5.2,ARS,1
301,Osborn,100,141,2.4,3,2,MID,6.2,ARS,2
302,Stephens,100,62,0,2,0,DEF,4.7,WBA,0
303,Sawyers,100,0,0,2,2,DEF,4.6,SOU,0
305,Roberts,100,389,1.6,5,1,FWD,5.6,MCI,3
306,Elneny,100,99,0.8,2,2,FWD,5.2,SHU,1
308,El Mohamady,100,270,2.4,4,1,MID,5.2,LIV,0
309,Thiago,100,310,2,3,0,DEF,4.1,AVL,1
310,Stevens,100,450,1.8,3,1,DEF,5,ARS,1
311,Ryan,100,0,0,2,0,FWD,5.3,SHU,0
312,Alzate,100,22,0.2,4,1,DEF,4.3,EVE,0
313,Allan,75,302,1.6,2,0,MID,5.5,BHA,0
314,Matic,100,92,0.8,4,1,DEF,4.3,TOT,1
315,Bogle,75,162,0.2,3,0,DEF,4.3,ARS,0
316,Berge,0,0,0,3,1,DEF,4.6,ARS,0
317,Cédric,100,225,0.8,2,0,DEF,3.8,SHU,0
318,Hause,75,0,0,4,0,FWD,5.2,LIV,0
320,Manquillo,100,104,0.6,2,1,FWD,6.8,BUR,0
