player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
489,Tsimikas,100,0.0,0.00,4,0.00,"MUN ",DEF,4.9,0
490,Delap,100,0.0,0.00,3,0.00,"CRY ",FWD,4.3,0
491,Shoretire,100,0.0,0.00,4,2.00,"LIV ",MID,4.4,0
492,Ighalo,0,0.0,0.00,4,0.00,"LIV ",FWD,6.1,0
493,Anderson,100,0.0,0.00,3,1.00,"ARS ",MID,4.5,0
494,Ndiaye,100,11.0,0.20,4,2.10,"TOT ",MID,4.5,0
495,Hackford,100,0.0,0.00,4,0.00,"TOT ",FWD,4.4,0
496,Vokins,0,0.0,0.00,4,0.00,"LEI ",DEF,3.9,0
497,Obafemi,25,0.0,0.00,4,0.00,"LEI ",FWD,4.6,0
498,Scarlett,100,0.0,0.00,2,1.00,"SHU ",FWD,4.5,0
499,Ruddy,100,1.0,0.20,2,0.00,"WBA ",GKP,4.3,0
500,Buur,0,0.0,0.00,2,0.00,"WBA ",DEF,3.9,0
501,Vinagre,0,0.0,0.00,2,0.00,"WBA ",DEF,4.1,0
502,Macey,0,0.0,0.00,2,0.00,"NEW ",GKP,4.0,0
503,Sokratis,0,0.0,0.00,2,0.00,"NEW ",DEF,4.8,0
504,Saliba,0,0.0,0.00,2,0.00,"NEW ",DEF,4.0,0
505,Özil,25,0.0,0.00,2,0.00,"NEW ",MID,6.7,0
506,Torreira,0,0.0,0.00,2,0.00,"NEW ",MID,4.7,0
507,Guendouzi,0,0.0,0.00,2,0.00,"NEW ",MID,4.7,0
508,Azeez,100,0.0,0.00,2,1.00,"NEW ",MID,4.5,0
509,Heaton,100,0.0,0.00,3,1.50,"EVE ",GKP,4.5,0
510,Steer,100,0.0,0.00,3,1.50,"EVE ",GKP,3.9,0
511,Nyland,0,0.0,0.00,3,1.50,"EVE ",GKP,4.0,0
512,Engels,100,0.0,0.00,3,1.50,"EVE ",DEF,4.4,0
513,Bree,0,0.0,0.00,3,1.50,"EVE ",DEF,4.5,0
514,Guilbert,0,0.0,0.00,3,1.50,"EVE ",DEF,4.3,0
515,Lansbury,25,0.0,0.00,3,1.50,"EVE ",MID,4.3,0
516,Jota,0,0.0,0.00,3,1.50,"EVE ",MID,5.9,0
517,Hayden,100,0.0,0.00,3,1.50,"EVE ",MID,4.5,0
518,Chukwuemeka,100,0.0,0.00,3,1.50,"EVE ",MID,4.5,0
519,Philogene-Bidace,100,0.0,0.00,3,1.50,"EVE ",MID,4.4,0
520,Samatta,25,0.0,0.00,3,1.50,"EVE ",FWD,5.9,0
521,Vassilev,0,0.0,0.00,3,1.50,"EVE ",FWD,4.3,0
522,Walton,100,0.0,0.00,3,0.00,"LEE ",GKP,4.0,0
523,Steele,100,0.0,0.00,3,0.00,"LEE ",GKP,3.9,0
